user_id,auth_date
451609,2019-08-03
354866,2019-05-07
103399,2019-05-01
275144,2018-05-29
12000,2015-01-16
36306,2019-04-24
860207,2020-09-01
10143,2016-07-07
211206,2018-11-13
697644,2019-12-15
678843,2020-05-03
248663,2018-06-26
322024,2020-07-01
483784,2020-01-25
4131,2012-08-17
924695,2020-07-03
135595,2017-06-14
313169,2018-08-24
133948,2017-04-08
79077,2016-12-25
435387,2019-07-11
4493,2016-04-12
282177,2020-07-07
523286,2020-05-15
9494,2017-10-06
243861,2020-02-28
63839,2018-02-09
34752,2018-05-28
86401,2017-03-28
358297,2018-12-13
159287,2020-04-02
58372,2015-10-29
626363,2020-07-29
346920,2019-10-13
497246,2019-10-20
16216,2017-06-25
448441,2019-04-22
109388,2017-02-08
134709,2020-06-08
880997,2020-05-05
845597,2020-08-07
238419,2019-01-28
537692,2020-01-30
106917,2017-03-02
52657,2019-12-08
63070,2020-01-16
34907,2019-04-26
135135,2018-01-03
654250,2020-09-17
1982,2013-03-23
112823,2017-07-13
562767,2020-05-24
164209,2019-07-26
12511,2017-05-31
176549,2018-08-12
89701,2020-01-14
603230,2019-09-18
436976,2019-08-07
28756,2014-08-24
15708,2019-11-15
530167,2020-06-11
110720,2020-08-25
246125,2018-03-22
35124,2015-09-14
366694,2020-03-13
563603,2020-08-16
22125,2014-07-16
661086,2020-08-29
99421,2018-12-30
186238,2018-10-23
180942,2018-06-09
628725,2020-04-17
642311,2020-03-05
451211,2020-05-27
317443,2019-08-03
77559,2017-01-14
155543,2017-10-17
345788,2020-08-29
368724,2019-05-14
104879,2018-05-11
169599,2020-02-23
451244,2020-02-11
157824,2018-04-30
397784,2019-01-24
165569,2018-09-13
721191,2020-02-07
27383,2015-08-23
10125,2019-10-16
666848,2019-12-15
279323,2019-06-22
157017,2018-11-06
147743,2018-03-29
157215,2019-06-28
729545,2020-01-12
301242,2018-08-07
127963,2017-11-10
259856,2018-11-06
32178,2019-06-15
37930,2019-05-20
120917,2017-10-07
251770,2019-05-05
261922,2019-03-05
124942,2017-02-09
158295,2019-11-12
388058,2020-07-20
305930,2018-08-27
16334,2014-10-12
743982,2020-04-07
544906,2019-07-25
394500,2019-03-11
64213,2017-01-16
352119,2019-10-14
4333,2020-02-26
507377,2020-02-04
366670,2020-07-04
192076,2018-03-15
599412,2020-02-09
96947,2016-09-01
40852,2019-12-10
383824,2020-04-13
143105,2017-05-08
585317,2019-09-09
523680,2020-07-04
516339,2019-06-16
38979,2018-10-17
348161,2019-12-11
489588,2019-05-14
398775,2019-01-09
63936,2020-03-22
357326,2019-10-02
358732,2019-11-28
260931,2020-09-22
89933,2018-06-01
